Block,Trial,RT\ms
1, 1, 272
1, 2, 307
1, 3, 266
1, 4, 252
1, 5, 252
1, 6, 254
1, 7, 239
1, 8, 267
1, 9, 304
1, 10, 346
1, 11, 279
1, 12, 305
1, 13, 412
1, 14, 294
1, 15, 329
2, 1, 268
2, 2, 239
2, 3, 249
2, 4, 258
2, 5, 452
2, 6, 365
2, 7, 244
2, 8, 260
2, 9, 283
2, 10, 275
2, 11, 444
2, 12, 268
2, 13, 303
2, 14, 268
2, 15, 281
3, 1, 268
3, 2, 266
3, 3, 288
3, 4, 264
3, 5, 247
3, 6, 262
3, 7, 318
3, 8, 272
3, 9, 264
3, 10, 277
3, 11, 302
3, 12, 304
3, 13, 504
3, 14, 310
3, 15, 299
4, 1, 370
4, 2, 271
4, 3, 331
4, 4, 348
4, 5, 471
4, 6, 325
4, 7, 288
4, 8, 297
4, 9, 256
4, 10, 269
4, 11, 269
4, 12, 294
4, 13, 324
4, 14, 347
4, 15, 303
